BLE_fischart;species_code;german_name;species_name;species_namesc;target_assemblage_code;grouped_species;target_assemblage
ALB;ALB;Weisser Thun;Albacore;Thunnus alalunga;LPF;non-target large pelagic fish;Large pelagic fish
ALC;ALC;Bairds Glattkopf;Baird's slickhead;Alepocephalus bairdii;DEF;non-target demersal fish;Demersal fish
PPD;ALK;Pazifischer Polardorsch;Alaska pollock(=Walleye poll.);Theragra chalcogramma;DEF;non-target demersal fish;Demersal fish
ANE;ANE;Sardelle;Anchovy;Engraulis encrasicolus;SPF;Pilchard, Anchovy & Sardinella;Small pelagic fish
ANF;ANF;Seeteufel;Anglerfish;Lophius spp.;DEF;Anglerfish;Demersal fish
APO;APO;Kardinalfisch N. N. B.;Cardinalfishes nei;Apogonidae;DEF;non-target demersal fish;Demersal fish
ARG;ARG;Goldlachse N. N. B.;Argentines;Argentina spp.;DEF;Argentines;Demersal fish
ARU;ARU;Goldlachs;Greater argentine;Argentina silus;DWS;Argentines;Deep-water species
ARY;ARY;Glasauge;Argentine;Argentina sphyraena;SPF;Argentines;Small pelagic fish
BET;BET;Thunfisch (Grossaugenth.);Bigeye tuna;Thunnus obesus;LPF;non-target large pelagic fish;Large pelagic fish
BFT;BFT;Roter Thunfisch;Atlantic bluefin tuna;Thunnus thynnus;LPF;non-target large pelagic fish;Large pelagic fish
BLI;BLI;Blauleng;Blue ling;Molva dypterygia;DWS;non-target demersal fish;Deep-water species
BLL;BLL;Glattbut;Brill;Scophthalmus rhombus;DEF;High-priced flatfish;Demersal fish
BLU;BLU;Blaufisch;Bluefish;Pomatomus saltatrix;DEF;non-target large pelagic fish;Demersal fish
BON;BON;Atlantischer Bonito, Pelamide;Atlantic bonito;Sarda sarda;LPF;non-target large pelagic fish;Large pelagic fish
BRB;BRB;Brandbrasse;Black seabream;Spondyliosoma cantharus;DEF;non-target demersal fish;Demersal fish
BSF;BSF;Schwarzer Degenfisch;Black scabbardfish;Aphanopus carbo;DWS;non-target deep-water fish;Deep-water species
BSH;BSH;Blauhai;Blue shark;Prionace glauca;LPF;non-target large pelagic fish;Large pelagic fish
CAP;CAP;Lodde;Capelin;Mallotus villosus;SPF;non-target small pelagic fish;Small pelagic fish
CAS;CAS;Gefleckter Katfisch;Spotted wolffish;Anarhichas minor;DEF;Wolffishes;Demersal fish
CAT;CAT;Katfische N. N. B.;Catfish;Anarhichas spp.;DEF;Wolffishes;Demersal fish
CHR;CHR;Saiblinge N. N. B;Chars nei;Salvelinus spp;FWS;Salmonids, Freshwater- & Brackish fish;Freshwater species
CLX;CLX;Muscheln;Clams, etc. nei;Bivalvia;MOL;other mussels;Molluscs
COA;COA;Meeraal-A;American conger;Conger oceanicus;DEF;non-target demersal fish;Demersal fish
COD;COD;Kabeljau;Cod;Gadus morhua;DEF;Cod;Demersal fish
COE;COE;Meeraal;Conger eel;Conger conger;DEF;non-target demersal fish;Demersal fish
CRA;CRA;Panzerkrebse N.N.B.;Marine crabs nei;Brachyura;CRU;Benthic decapods;Crustaceans
CRE;CRE;Taschenkrebs;Edible crab;Cancer pagurus;CRU;Benthic decapods;Crustaceans
CSH;CSH;Nordseegarnele;Brown shrimp;Crangon crangon;CRU;Brown shrimp;Crustaceans
CYO;CYO;Portugieserhai;Portuguese dogfish;Centroscymnus coelolepis;DWS;non-target deep-water fish;Deep-water species
DAB;DAB;Kliesche;Dab;Limanda limanda;DEF;Low-priced flatfish;Demersal fish
DGS;DGS;Dornhai;Spurdog;Squalus acanthias;DEF;non-target demersal fish;Demersal fish
DGX;DGX;Haie;Sharks and spurdogs;Squaliidae;DEF;non-target demersal fish;Demersal fish
ELE;ELE;Aal;Eel;Anguilla anguilla;CAT;Eel;Catadromous species
ELP;ELP;Aalmutter;Eelpout;Zoarces viviparus;DEF;non-target demersal fish;Demersal fish
FBR;FBR;Brachsen - Blei N. N. B.;Freshwater breams nei;Abramis spp;FWS;Salmonids, Freshwater- & Brackish fish;Freshwater species
FBU;FBU;Quappe, Trüsche;Burbot;Lota lota;FWS;Salmonids, Freshwater- & Brackish fish;Freshwater species
FCC;FCC;Karausche;Crucian carp;Carassius carassius;FWS;Salmonids, Freshwater- & Brackish fish;Freshwater species
FCP;FCP;Karpfen;Common carp;Cyprinus carpio;FWS;Salmonids, Freshwater- & Brackish fish;Freshwater species
FID;FID;Aland;Orfe(=Ide);Leuciscus idus;FWS;Salmonids, Freshwater- & Brackish fish;Freshwater species
FLE;FLE;Flunder;Flounder;Platichtyus flesus;DEF;Flounder;Demersal fish
FLX;FLX;Plattfischartige;Flatfishes nei;Pleuronectiformes;DEF;Low-priced flatfish;Demersal fish
FPE;FPE;Flussbarsch;European perch;Perca fluviatilis;FWS;Salmonids, Freshwater- & Brackish fish;Freshwater species
FPI;FPI;Hecht;Northern pike;Esox lucius;FWS;Salmonids, Freshwater- & Brackish fish;Freshwater species
FPP;FPP;Zander;Pike-perch;Stizostedion lucioperca;FWS;Salmonids, Freshwater- & Brackish fish;Freshwater species
FRF;FRF;Süsswasserfische;Freshwater fishes nei;Osteichthyes;FWS;Salmonids, Freshwater- & Brackish fish;Freshwater species
FRO;FRO;Plötze;Roach;Rutilus rutilus;FWS;Salmonids, Freshwater- & Brackish fish;Freshwater species
FTE;FTE;Schleie;Tench;Tinca tinca;FWS;Salmonids, Freshwater- & Brackish fish;Freshwater species
GAR;GAR;Hornhecht;Garfish;Belone belone;SPF;non-target small pelagic fish;Small pelagic fish
GFB;GFB;Gabeldorsch;Greater forkbeard;Phycis blennoides;DWS;non-target deep-water fish;Deep-water species
GHL;GHL;Schwarzer Heilbutt;Greenland halibut;Reinhardtius hippoglossoides;DEF;Greenland halibut;Demersal fish
GUQ;GUQ;Blattschuppiger Schlingerhai;Leafscale gulper shark;Centrophorus squamosus;DWS;non-target deep-water fish;Deep-water species
GUX;GUX;Knurrhaehne N. N. B.;Gurnards, searobins nei;Triglidae;DEF;non-target demersal fish;Demersal fish
HAD;HAD;Schellfisch;Haddock;Melanogrammus aeglefinus;DEF;Haddock;Demersal fish
HAL;HAL;Heilbutt;Halibut;Hippoglossus hippoglossus;DEF;Halibut;Demersal fish
HER;HER;Hering;Herring;Clupea harengus;SPF;Herring;Small pelagic fish
HKE;HKE;Seehecht;Hake;Merluccius merluccius;DEF;Hake;Demersal fish
JAX;JAX;Pferdemakrelen N. N. B.;Horse mackerel;Trachurus spp.;SPF;other mackerels;Small pelagic fish
KEF;KEF;Tiefseekrabbe;Deep-sea red crab;Chaceon affinis;CRU;Deep-sea decapods;Crustaceans
LBE;LBE;Hummer;Lobster;Homarus gammarus;CRU;Benthic decapods;Crustaceans
LEF;LEF;Butte N. N. B.;Lefteye flounders nei;Bothidae;DEF;High-priced flatfish;Demersal fish
LEM;LEM;Echte Rotzunge;Lemon sole;Microstomus kitt;DEF;High-priced flatfish;Demersal fish
LEZ;LEZ;Migram N. N. B.;Megrims nei;Lepidorhombus spp;DEF;non-target demersal fish;Demersal fish
LHT;LHT;Haarschwanz;Largehead hairtail;Trichiurus lepturus;DEF;non-target demersal fish;Demersal fish
LIN;LIN;Leng;Ling;Molva molva;DEF;non-target demersal fish;Demersal fish
LTA;LTA;Kleiner Thun, Thonine;Little tunny(=Atl.black skipj);Euthynnus alletteratus;LPF;non-target large pelagic fish;Large pelagic fish
LUM;LUM;Seehase;Lumpfish(=Lumpsucker);Cyclopterus lumpus;DEF;non-target demersal fish;Demersal fish
MAC;MAC;Makrele;Mackerel;Scomber scombrus;SPF;Mackerel;Small pelagic fish
MAS;MAS;Japanische Makrele;Chub mackerel;Scomber japonicus;SPF;other mackerels;Small pelagic fish
MEG;MEG;Flügelbutt;Megrim;Lepidorhombus whiffiagonis;DEF;High-priced flatfish;Demersal fish
MON;MON;Seeteufel;Anglerfish;Lophius piscatorius;DEF;Anglerfish;Demersal fish
MUL;MUL;Meeräschen N. N. B.;Mullets nei;Mugilidae;DEF;Salmonids, Freshwater- & Brackish fish;Demersal fish
MUS;MUS;Miesmuschel;Blue mussel;Mytilus edulis;MOL;Blue Mussel;Molluscs
MUX;MUX;Meerbarben N. N. B.;Surmullets(=Red mullets) nei;Mullus spp.;DEF;non-target demersal fish;Demersal fish
NEP;NEP;Kaisergranat;Norway lobster;Nephrops norvegicus;MCD;Norway lobster;Mixed crustaceans and demersal fish
NOP;NOP;Stintdorsch;Norway pout;Trisopterus esmarki;DEF;non-target demersal fish;Demersal fish
ORY;ORY;Granatbarsch;Orange roughy;Hoplostethus atlanticus;DWS;non-target deep-water fish;Deep-water species
OTH;OTHER;Andere Arten;;;;non-target demersal fish;
PIL;PIL;Sardine;Pilchard;Sardina pilchardus ;SPF;Pilchard, Anchovy & Sardinella;Small pelagic fish
PLA;PLA;Scharbenzunge;Long rough dab;Hippoglossoides platessoides;DEF;Low-priced flatfish;Demersal fish
PLE;PLE;Scholle;Plaice;Pleuronectes platessa;DEF;Plaice;Demersal fish
PLN;PLN;Blaufelchen;European whitefish;Coregonus lavaretus;FWS;Salmonids, Freshwater- & Brackish fish;Freshwater species
POK;POK;Köhler;Saithe;Pollachius virens;DEF;Saithe;Demersal fish
POL;POL;Pollack;Pollack;Pollachius pollachius;DEF;non-target demersal fish;Demersal fish
POR;POR;Heringhai;Porbeagle;Lamna nasus;DEF;non-target demersal fish;Demersal fish
PRA;PRA;Nordische Garnele;Northern shrimp;Pandalus borealis;CRU;other shrimps;Crustaceans
REB;REB;Tiefenrotbarsch;Deep-sea redfish;Sebastes mentella;DEF;Redfishes;Demersal fish
RED;RED;Rotbarsche N. N. B.;Redfishes;Sebastes spp.;DEF;Redfishes;Demersal fish
REG;REG;Goldbarsch;Golden redfish;Sebastes marinus;DEF;Redfishes;Demersal fish
